country,genre,averageRating,numVotes
United States,Documentaries,6.907951807228909,4926.238554216868
United States,Children & Family Movies,5.959807073954984,49693.70739549839
United States,Dramas,6.474811083123431,83741.93828715365
United States,Independent Movies,6.265405405405405,50036.994594594595
United States,International Movies,6.549659863945579,50293.86394557823
United States,Comedies,5.932786885245905,68749.24262295081
United States,Thrillers,5.942553191489363,85376.41843971632
United States,Romantic Movies,6.120673076923077,66816.79326923077
United States,Horror Movies,5.477720207253884,62786.64766839378
United States,Sci-Fi & Fantasy,6.1000000000000005,189642.76506024096
United States,Action & Adventure,6.071128608923886,156283.69553805774
United States,Classic Movies,7.386666666666665,204931.73333333334
United States,Anime Features,6.275,6383.75
United States,Sports Movies,6.6911764705882355,45222.990196078434
United States,Music & Musicals,6.664655172413796,26019.612068965518
United States,Cult Movies,6.716326530612246,204023.32653061225
United States,Faith & Spirituality,5.7918918918918925,14100.675675675675
United States,LGBTQ Movies,6.505172413793104,33783.43103448276
United States,Stand-Up Comedy,6.8047619047619055,2709.1428571428573
United States,Movies,6.20330261136713,63442.13671274961
Ghana,Documentaries,0,0
Ghana,Children & Family Movies,0,0
Ghana,Dramas,5.859999999999999,373.8
Ghana,Independent Movies,6.7,698.0
Ghana,International Movies,5.859999999999999,373.8
Ghana,Comedies,5.15,128.5
Ghana,Thrillers,0,0
Ghana,Romantic Movies,0,0
Ghana,Horror Movies,0,0
Ghana,Sci-Fi & Fantasy,0,0
Ghana,Action & Adventure,0,0
Ghana,Classic Movies,0,0
Ghana,Anime Features,0,0
Ghana,Sports Movies,0,0
Ghana,Music & Musicals,0,0
Ghana,Cult Movies,0,0
Ghana,Faith & Spirituality,0,0
Ghana,LGBTQ Movies,0,0
Ghana,Stand-Up Comedy,0,0
Ghana,Movies,5.859999999999999,373.8
Burkina Faso,Documentaries,0,0
Burkina Faso,Children & Family Movies,0,0
Burkina Faso,Dramas,7.0,683.0
Burkina Faso,Independent Movies,7.0,683.0
Burkina Faso,International Movies,7.0,683.0
Burkina Faso,Comedies,0,0
Burkina Faso,Thrillers,0,0
Burkina Faso,Romantic Movies,0,0
Burkina Faso,Horror Movies,0,0
Burkina Faso,Sci-Fi & Fantasy,0,0
Burkina Faso,Action & Adventure,0,0
Burkina Faso,Classic Movies,0,0
Burkina Faso,Anime Features,0,0
Burkina Faso,Sports Movies,0,0
Burkina Faso,Music & Musicals,0,0
Burkina Faso,Cult Movies,0,0
Burkina Faso,Faith & Spirituality,0,0
Burkina Faso,LGBTQ Movies,0,0
Burkina Faso,Stand-Up Comedy,0,0
Burkina Faso,Movies,7.0,683.0
United Kingdom,Documentaries,7.019444444444445,5187.842592592592
United Kingdom,Children & Family Movies,6.354999999999999,69478.3
United Kingdom,Dramas,6.679679144385028,91196.5935828877
United Kingdom,Independent Movies,6.602857142857143,86269.67142857143
United Kingdom,International Movies,6.5870129870129865,50705.02597402597
United Kingdom,Comedies,6.31851851851852,88459.07407407407
United Kingdom,Thrillers,6.28813559322034,106098.15254237287
United Kingdom,Romantic Movies,6.677777777777777,101146.97222222222
United Kingdom,Horror Movies,5.81923076923077,86154.61538461539
United Kingdom,Sci-Fi & Fantasy,6.055882352941176,214339.4411764706
United Kingdom,Action & Adventure,6.255555555555556,173373.02469135803
United Kingdom,Classic Movies,7.466666666666667,173854.6
United Kingdom,Anime Features,0,0
United Kingdom,Sports Movies,6.910526315789473,7975.578947368421
United Kingdom,Music & Musicals,6.924137931034482,48374.58620689655
United Kingdom,Cult Movies,7.366666666666666,356388.1666666667
United Kingdom,Faith & Spirituality,6.58,5910.4
United Kingdom,LGBTQ Movies,6.385714285714285,37658.57142857143
United Kingdom,Stand-Up Comedy,6.982352941176471,3125.705882352941
United Kingdom,Movies,6.559866220735782,73721.95986622074
Germany,Documentaries,6.800000000000002,2135.6
Germany,Children & Family Movies,5.823076923076924,38987.846153846156
Germany,Dramas,6.7430555555555545,98897.86111111111
Germany,Independent Movies,7.026923076923077,93813.61538461539
Germany,International Movies,6.641463414634146,45794.62195121951
Germany,Comedies,6.227777777777778,77128.66666666667
Germany,Thrillers,6.324137931034482,65527.93103448276
Germany,Romantic Movies,6.129999999999999,63525.5
Germany,Horror Movies,5.8374999999999995,99567.5
Germany,Sci-Fi & Fantasy,6.253846153846155,247804.6923076923
Germany,Action & Adventure,6.783870967741935,268903.70967741933
Germany,Classic Movies,7.8,196922.0
Germany,Anime Features,0,0
Germany,Sports Movies,6.32,39817.6
Germany,Music & Musicals,6.5249999999999995,91983.25
Germany,Cult Movies,7.2,240475.33333333334
Germany,Faith & Spirituality,6.4,2245.0
Germany,LGBTQ Movies,5.4,1690.0
Germany,Stand-Up Comedy,5.4,195.6
Germany,Movies,6.4871794871794854,59650.37606837607
Ethiopia,Documentaries,0,0
Ethiopia,Children & Family Movies,0,0
Ethiopia,Dramas,7.0,683.0
Ethiopia,Independent Movies,7.0,683.0
Ethiopia,International Movies,7.0,683.0
Ethiopia,Comedies,0,0
Ethiopia,Thrillers,0,0
Ethiopia,Romantic Movies,0,0
Ethiopia,Horror Movies,0,0
Ethiopia,Sci-Fi & Fantasy,0,0
Ethiopia,Action & Adventure,0,0
Ethiopia,Classic Movies,0,0
Ethiopia,Anime Features,0,0
Ethiopia,Sports Movies,0,0
Ethiopia,Music & Musicals,0,0
Ethiopia,Cult Movies,0,0
Ethiopia,Faith & Spirituality,0,0
Ethiopia,LGBTQ Movies,0,0
Ethiopia,Stand-Up Comedy,0,0
Ethiopia,Movies,7.0,683.0
Czech Republic,Documentaries,6.4,145.0
Czech Republic,Children & Family Movies,5.6,85958.0
Czech Republic,Dramas,6.42857142857143,13377.857142857143
Czech Republic,Independent Movies,7.8,3428.0
Czech Republic,International Movies,6.539999999999999,48154.2
Czech Republic,Comedies,6.699999999999999,44693.0
Czech Republic,Thrillers,6.1,39772.0
Czech Republic,Romantic Movies,0,0
Czech Republic,Horror Movies,5.2,112866.0
Czech Republic,Sci-Fi & Fantasy,5.733333333333334,102239.0
Czech Republic,Action & Adventure,6.459999999999999,261242.0
Czech Republic,Classic Movies,0,0
Czech Republic,Anime Features,0,0
Czech Republic,Sports Movies,6.4,145.0
Czech Republic,Music & Musicals,0,0
Czech Republic,Cult Movies,7.1,353956.0
Czech Republic,Faith & Spirituality,0,0
Czech Republic,LGBTQ Movies,0,0
Czech Republic,Stand-Up Comedy,0,0
Czech Republic,Movies,6.349999999999999,56697.166666666664
India,Documentaries,7.257142857142857,34936.333333333336
India,Children & Family Movies,6.140000000000001,7130.1
India,Dramas,6.577280858676205,10491.992844364937
India,Independent Movies,6.7437956204379566,4127.737226277372
India,International Movies,6.321650879566975,13295.899864682002
India,Comedies,6.145454545454546,14734.167832167832
India,Thrillers,6.246913580246912,21137.493827160495
India,Romantic Movies,6.254807692307692,6776.298076923077
India,Horror Movies,5.106451612903226,25634.612903225807
India,Sci-Fi & Fantasy,5.822222222222223,38337.0
India,Action & Adventure,6.068548387096776,21347.629032258064
India,Classic Movies,7.188888888888889,7942.111111111111
India,Anime Features,0,0
India,Sports Movies,6.649999999999999,70206.1875
India,Music & Musicals,6.039506172839506,21930.777777777777
India,Cult Movies,6.640000000000001,11858.0
India,Faith & Spirituality,6.800000000000001,151.0
India,LGBTQ Movies,6.300000000000001,263.5
India,Stand-Up Comedy,6.42,756.0
India,Movies,6.343346007604556,13234.756653992396
France,Documentaries,6.736842105263159,4569.368421052632
France,Children & Family Movies,6.380000000000001,44862.2
France,Dramas,6.622297297297298,49042.77027027027
France,Independent Movies,6.716393442622952,68816.19672131147
France,International Movies,6.436158192090396,30621.598870056496
France,Comedies,6.224444444444445,54990.08888888889
France,Thrillers,6.385714285714285,74928.90476190476
France,Romantic Movies,6.29047619047619,45240.0
France,Horror Movies,5.0875,50970.625
France,Sci-Fi & Fantasy,6.2875,102924.5
France,Action & Adventure,6.366666666666667,63795.805555555555
France,Classic Movies,6.849999999999999,49041.666666666664
France,Anime Features,0,0
France,Sports Movies,7.32,10305.2
France,Music & Musicals,6.3,9795.57142857143
France,Cult Movies,5.5,126697.0
France,Faith & Spirituality,6.566666666666667,5053.666666666667
France,LGBTQ Movies,5.4,1753.0
France,Stand-Up Comedy,5.7,134.0
France,Movies,6.460425531914895,41056.54893617021
China,Documentaries,6.683333333333334,1515.3333333333333
China,Children & Family Movies,6.292307692307693,68107.92307692308
China,Dramas,6.496875,23863.0
China,Independent Movies,6.1,45645.0
China,International Movies,6.369230769230768,23205.923076923078
China,Comedies,6.236666666666666,40063.46666666667
China,Thrillers,5.75,71478.5
China,Romantic Movies,6.5375,37213.0
China,Horror Movies,5.15,56730.0
China,Sci-Fi & Fantasy,6.166666666666668,49221.083333333336
China,Action & Adventure,6.203571428571429,34210.375
China,Classic Movies,0,0
China,Anime Features,0,0
China,Sports Movies,7.0,547.0
China,Music & Musicals,6.5,10899.0
China,Cult Movies,7.7,137228.0
China,Faith & Spirituality,0,0
China,LGBTQ Movies,0,0
China,Stand-Up Comedy,0,0
China,Movies,6.348192771084336,32101.89156626506
Canada,Documentaries,6.764705882352942,1581.0588235294117
Canada,Children & Family Movies,5.8982758620689655,27232.689655172413
Canada,Dramas,6.509090909090908,45818.36363636364
Canada,Independent Movies,6.300000000000002,41486.19047619047
Canada,International Movies,6.356603773584904,23876.509433962263
Canada,Comedies,5.882051282051283,40753.0
Canada,Thrillers,5.904166666666666,47583.645833333336
Canada,Romantic Movies,5.677272727272728,21015.045454545456
Canada,Horror Movies,5.582857142857144,71008.94285714286
Canada,Sci-Fi & Fantasy,5.985714285714287,77715.60714285714
Canada,Action & Adventure,5.828571428571429,62417.19047619047
Canada,Classic Movies,0,0
Canada,Anime Features,0,0
Canada,Sports Movies,6.769999999999999,24164.9
Canada,Music & Musicals,6.445454545454546,14315.454545454546
Canada,Cult Movies,7.3,240520.8
Canada,Faith & Spirituality,5.533333333333334,15757.333333333334
Canada,LGBTQ Movies,6.633333333333334,2073.8333333333335
Canada,Stand-Up Comedy,0,0
Canada,Movies,6.073711340206185,41010.68041237113
South Africa,Documentaries,7.257142857142858,8741.142857142857
South Africa,Children & Family Movies,8.1,51885.0
South Africa,Dramas,6.530000000000001,8068.2
South Africa,Independent Movies,6.9,19602.0
South Africa,International Movies,6.237142857142856,24521.8
South Africa,Comedies,5.769230769230769,505.2307692307692
South Africa,Thrillers,5.800000000000001,7735.0
South Africa,Romantic Movies,5.222222222222222,601.8888888888889
South Africa,Horror Movies,0,0
South Africa,Sci-Fi & Fantasy,7.35,459536.5
South Africa,Action & Adventure,6.27,122447.1
South Africa,Classic Movies,0,0
South Africa,Anime Features,0,0
South Africa,Sports Movies,0,0
South Africa,Music & Musicals,5.766666666666666,268.0
South Africa,Cult Movies,0,0
South Africa,Faith & Spirituality,4.4,4552.0
South Africa,LGBTQ Movies,0,0
South Africa,Stand-Up Comedy,5.9,204.0
South Africa,Movies,6.237142857142856,24521.8
Japan,Documentaries,6.45,3151.6666666666665
Japan,Children & Family Movies,5.876923076923077,11879.0
Japan,Dramas,6.582352941176473,58777.470588235294
Japan,Independent Movies,6.542857142857144,61156.0
Japan,International Movies,6.554054054054054,11196.918918918918
Japan,Comedies,5.828571428571428,92966.71428571429
Japan,Thrillers,6.133333333333333,19896.0
Japan,Romantic Movies,7.050000000000001,112761.5
Japan,Horror Movies,4.25,3574.0
Japan,Sci-Fi & Fantasy,6.816666666666666,5975.0
Japan,Action & Adventure,6.715384615384616,75949.61538461539
Japan,Classic Movies,7.300000000000001,43663.5
Japan,Anime Features,6.661290322580646,6780.870967741936
Japan,Sports Movies,7.1,1029.0
Japan,Music & Musicals,6.475,3862.75
Japan,Cult Movies,7.5,416514.0
Japan,Faith & Spirituality,0,0
Japan,LGBTQ Movies,5.5,1827.0
Japan,Stand-Up Comedy,0,0
Japan,Movies,6.41864406779661,30368.406779661018
Nigeria,Documentaries,7.55,11670.5
Nigeria,Children & Family Movies,0,0
Nigeria,Dramas,5.991379310344825,21581.327586206895
Nigeria,Independent Movies,6.583333333333333,139392.5
Nigeria,International Movies,5.914102564102563,5965.974358974359
Nigeria,Comedies,5.963888888888889,24015.027777777777
Nigeria,Thrillers,5.333333333333333,27287.333333333332
Nigeria,Romantic Movies,6.08421052631579,3909.2105263157896
Nigeria,Horror Movies,5.0,113.0
Nigeria,Sci-Fi & Fantasy,0,0
Nigeria,Action & Adventure,4.933333333333334,5879.666666666667
Nigeria,Classic Movies,0,0
Nigeria,Anime Features,0,0
Nigeria,Sports Movies,0,0
Nigeria,Music & Musicals,5.8,149.0
Nigeria,Cult Movies,0,0
Nigeria,Faith & Spirituality,6.6,123.0
Nigeria,LGBTQ Movies,0,0
Nigeria,Stand-Up Comedy,0,0
Nigeria,Movies,5.948192771084336,15672.132530120482
Spain,Documentaries,7.08,1048.0
Spain,Children & Family Movies,6.485714285714286,37732.0
Spain,Dramas,6.433870967741935,31585.516129032258
Spain,Independent Movies,5.870588235294118,36939.41176470588
Spain,International Movies,6.2855769230769205,15080.115384615385
Spain,Comedies,6.0950000000000015,10345.8
Spain,Thrillers,6.30294117647059,36087.470588235294
Spain,Romantic Movies,6.444444444444444,5150.666666666667
Spain,Horror Movies,5.6000000000000005,26021.666666666668
Spain,Sci-Fi & Fantasy,6.3875,124653.625
Spain,Action & Adventure,5.800000000000001,23798.555555555555
Spain,Classic Movies,0,0
Spain,Anime Features,0,0
Spain,Sports Movies,6.625,4630.0
Spain,Music & Musicals,5.65,2795.0
Spain,Cult Movies,0,0
Spain,Faith & Spirituality,6.25,5795.0
Spain,LGBTQ Movies,6.133333333333333,2445.3333333333335
Spain,Stand-Up Comedy,6.7,420.0
Spain,Movies,6.283898305084742,21377.550847457627
Australia,Documentaries,7.107142857142857,3040.9285714285716
Australia,Children & Family Movies,5.769230769230769,13262.692307692309
Australia,Dramas,6.608108108108107,58559.45945945946
Australia,Independent Movies,6.7124999999999995,24129.625
Australia,International Movies,6.662962962962963,45591.81481481482
Australia,Comedies,6.107692307692308,70843.23076923077
Australia,Thrillers,6.477777777777778,118530.33333333333
Australia,Romantic Movies,6.94,41422.6
Australia,Horror Movies,5.066666666666666,28160.0
Australia,Sci-Fi & Fantasy,5.614285714285715,153996.57142857142
Australia,Action & Adventure,6.092307692307693,127046.23076923077
Australia,Classic Movies,6.860000000000001,63998.0
Australia,Anime Features,0,0
Australia,Sports Movies,6.442857142857143,2262.285714285714
Australia,Music & Musicals,6.6000000000000005,1251.6666666666667
Australia,Cult Movies,6.8,204229.0
Australia,Faith & Spirituality,5.7,11822.0
Australia,LGBTQ Movies,7.175000000000001,36184.5
Australia,Stand-Up Comedy,7.3,5529.666666666667
Australia,Movies,6.468421052631577,35796.36842105263
Mexico,Documentaries,6.569230769230769,1053.6153846153845
Mexico,Children & Family Movies,5.08,15699.6
Mexico,Dramas,6.50625,42527.78125
Mexico,Independent Movies,5.7625,25889.1875
Mexico,International Movies,6.161224489795919,17305.102040816328
Mexico,Comedies,5.84,9085.85
Mexico,Thrillers,8.5,14942.0
Mexico,Romantic Movies,5.85,42111.75
Mexico,Horror Movies,4.783333333333334,55552.166666666664
Mexico,Sci-Fi & Fantasy,7.139999999999999,252650.8
Mexico,Action & Adventure,6.25,96152.25
Mexico,Classic Movies,7.1,17855.0
Mexico,Anime Features,0,0
Mexico,Sports Movies,5.75,43776.0
Mexico,Music & Musicals,6.866666666666667,37.333333333333336
Mexico,Cult Movies,0,0
Mexico,Faith & Spirituality,6.2,81.0
Mexico,LGBTQ Movies,4.3,897.0
Mexico,Stand-Up Comedy,6.359999999999999,332.5
Mexico,Movies,6.104761904761905,29755.873015873014
Italy,Documentaries,6.407692307692307,1718.1538461538462
Italy,Children & Family Movies,4.766666666666667,20988.333333333332
Italy,Dramas,6.753571428571429,58721.82142857143
Italy,Independent Movies,6.166666666666667,4538.333333333333
Italy,International Movies,6.383333333333333,23461.5
Italy,Comedies,5.8100000000000005,14792.0
Italy,Thrillers,6.4125,55301.875
Italy,Romantic Movies,6.316666666666666,81181.83333333333
Italy,Horror Movies,5.033333333333333,7838.0
Italy,Sci-Fi & Fantasy,6.5,357993.0
Italy,Action & Adventure,6.466666666666666,180006.0
Italy,Classic Movies,7.433333333333334,124547.33333333333
Italy,Anime Features,0,0
Italy,Sports Movies,6.5,3387.75
Italy,Music & Musicals,5.85,1536.0
Italy,Cult Movies,0,0
Italy,Faith & Spirituality,6.4,2245.0
Italy,LGBTQ Movies,8.4,158871.0
Italy,Stand-Up Comedy,5.85,131.0
Italy,Movies,6.345283018867923,35123.52830188679
Romania,Documentaries,0,0
Romania,Children & Family Movies,0,0
Romania,Dramas,7.071428571428571,56673.57142857143
Romania,Independent Movies,0,0
Romania,International Movies,5.7625,6529.25
Romania,Comedies,4.6000000000000005,73605.33333333333
Romania,Thrillers,6.366666666666667,7716.333333333333
Romania,Romantic Movies,6.633333333333334,49980.0
Romania,Horror Movies,0,0
Romania,Sci-Fi & Fantasy,5.1,1989.0
Romania,Action & Adventure,0,0
Romania,Classic Movies,0,0
Romania,Anime Features,0,0
Romania,Sports Movies,0,0
Romania,Music & Musicals,6.35,1149.0
Romania,Cult Movies,0,0
Romania,Faith & Spirituality,0,0
Romania,LGBTQ Movies,0,0
Romania,Stand-Up Comedy,0,0
Romania,Movies,6.01,20178.7
Hong Kong,Documentaries,7.9,3064.0
Hong Kong,Children & Family Movies,6.233333333333333,88313.66666666667
Hong Kong,Dramas,6.661290322580645,71052.7741935484
Hong Kong,Independent Movies,6.95,12365.0
Hong Kong,International Movies,6.444117647058823,16941.16176470588
Hong Kong,Comedies,6.018518518518518,18306.037037037036
Hong Kong,Thrillers,6.566666666666667,432012.0
Hong Kong,Romantic Movies,6.266666666666667,36516.77777777778
Hong Kong,Horror Movies,0,0
Hong Kong,Sci-Fi & Fantasy,6.366666666666667,2495.6666666666665
Hong Kong,Action & Adventure,6.505454545454546,34651.6
Hong Kong,Classic Movies,7.6,103396.0
Hong Kong,Anime Features,0,0
Hong Kong,Sports Movies,5.2,194.0
Hong Kong,Music & Musicals,7.5,8573.0
Hong Kong,Cult Movies,7.333333333333333,166221.66666666666
Hong Kong,Faith & Spirituality,0,0
Hong Kong,LGBTQ Movies,0,0
Hong Kong,Stand-Up Comedy,0,0
Hong Kong,Movies,6.476623376623376,27553.44155844156
New Zealand,Documentaries,5.866666666666667,1576.6666666666667
New Zealand,Children & Family Movies,7.3,228776.0
New Zealand,Dramas,6.790909090909091,61545.27272727273
New Zealand,Independent Movies,7.233333333333334,31330.0
New Zealand,International Movies,6.788888888888888,102164.88888888889
New Zealand,Comedies,6.85,66815.5
New Zealand,Thrillers,0,0
New Zealand,Romantic Movies,6.9,108016.0
New Zealand,Horror Movies,6.5,158755.0
New Zealand,Sci-Fi & Fantasy,7.616666666666667,749165.0
New Zealand,Action & Adventure,7.5857142857142845,630477.5714285715
New Zealand,Classic Movies,7.5,87360.0
New Zealand,Anime Features,0,0
New Zealand,Sports Movies,5.366666666666667,1090.3333333333333
New Zealand,Music & Musicals,0,0
New Zealand,Cult Movies,0,0
New Zealand,Faith & Spirituality,0,0
New Zealand,LGBTQ Movies,0,0
New Zealand,Stand-Up Comedy,0,0
New Zealand,Movies,6.526666666666667,100181.0
Brazil,Documentaries,7.128571428571428,4486.0
Brazil,Children & Family Movies,4.166666666666667,798.6666666666666
Brazil,Dramas,6.34,46556.05
Brazil,Independent Movies,6.99090909090909,78512.81818181818
Brazil,International Movies,6.3354838709677415,29445.83870967742
Brazil,Comedies,5.566666666666666,6675.6
Brazil,Thrillers,6.433333333333333,10894.666666666666
Brazil,Romantic Movies,6.0,802.0
Brazil,Horror Movies,0,0
Brazil,Sci-Fi & Fantasy,0,0
Brazil,Action & Adventure,6.566666666666666,25040.333333333332
Brazil,Classic Movies,0,0
Brazil,Anime Features,0,0
Brazil,Sports Movies,7.3,307.0
Brazil,Music & Musicals,3.2,481.5
Brazil,Cult Movies,0,0
Brazil,Faith & Spirituality,5.266666666666667,16188.666666666666
Brazil,LGBTQ Movies,6.7,650.5
Brazil,Stand-Up Comedy,5.55,136.5
Brazil,Movies,6.226315789473685,27035.86842105263
Greece,Documentaries,7.2,2923.0
Greece,Children & Family Movies,0,0
Greece,Dramas,6.2,51321.666666666664
Greece,Independent Movies,5.7,3835.5
Greece,International Movies,7.1,248750.0
Greece,Comedies,7.1,248750.0
Greece,Thrillers,0,0
Greece,Romantic Movies,7.1,248750.0
Greece,Horror Movies,0,0
Greece,Sci-Fi & Fantasy,6.6,80357.0
Greece,Action & Adventure,6.1,52855.5
Greece,Classic Movies,0,0
Greece,Anime Features,0,0
Greece,Sports Movies,0,0
Greece,Music & Musicals,0,0
Greece,Cult Movies,0,0
Greece,Faith & Spirituality,0,0
Greece,LGBTQ Movies,7.2,2923.0
Greece,Stand-Up Comedy,0,0
Greece,Movies,6.425000000000001,64836.0
Colombia,Documentaries,8.1,212.0
Colombia,Children & Family Movies,0,0
Colombia,Dramas,5.04,669.8
Colombia,Independent Movies,5.3999999999999995,870.0
Colombia,International Movies,5.7250000000000005,452.75
Colombia,Comedies,5.375,200.0
Colombia,Thrillers,0,0
Colombia,Romantic Movies,4.7,56.0
Colombia,Horror Movies,0,0
Colombia,Sci-Fi & Fantasy,0,0
Colombia,Action & Adventure,6.1,78045.0
Colombia,Classic Movies,0,0
Colombia,Anime Features,0,0
Colombia,Sports Movies,0,0
Colombia,Music & Musicals,0,0
Colombia,Cult Movies,0,0
Colombia,Faith & Spirituality,0,0
Colombia,LGBTQ Movies,0,0
Colombia,Stand-Up Comedy,4.966666666666666,66.0
Colombia,Movies,5.7250000000000005,452.75
Belgium,Documentaries,7.216666666666668,5426.0
Belgium,Children & Family Movies,5.95,25984.5
Belgium,Dramas,6.555,23863.925
